INV000880779V10000244500120105001E001DUPLICATE INVOICE             00000004740  
INV000880995V10000314500120111001E008UNKNOWN PAYMENT TERMS         00000068750  
INV000881014V10000314500120112001E009EXTENSION ERROR               00000012347  
INV000881034V10000484500120113001E010QTY EXCEEDS RECEIVED          00000249500  
INV000881089V10000484500120114001E010QTY EXCEEDS RECEIVED          00000012900  
INV000881114V10000624500120115001E011PRICE OVER TOLERANCE          00000151520  
INV000880807V10000794500120106001E003VENDOR NOT ACTIVE             00000043280  
INV000880830V10000864500120107001E003VENDOR NOT ACTIVE             00000011280  
INV000881162V10001094500120116001E011PRICE OVER TOLERANCE          00000000336  
INV000880856V10001164500120108001E004NON-USD CURRENCY              00000264000  
INV000880877V10001164500120108002E005PO LINE NOT ON FILE           00000026400  
INV000880911V10001234500120108001E006PO VENDOR MISMATCH            00000026400  
INV000880942V10001234500120109001E007PO LINE CLOSED OR HELD        00000186000  
INV000880979V10001234500120110001E007PO LINE CLOSED OR HELD        00000189000  
INV000880783V99999904500120105001E002VENDOR NOT ON FILE            00000001000  
