W2609240010APOP220260929INV000880856V1000116COASTAL WINDOW AND DOOR       4500120108001E00400000264000                  
W2609240002APOP320261001INV000880995V1000031PIEDMONT PAINT CO             4500120111001E00800000068750                  
W2609240004BUYR220260929INV000881034V1000048CAROLINA APPLIANCE DIST       4500120113001E01000000249500                  
W2609240014BUYR220260929INV000880979V1000123MAPLE CREEK CABINETRY         4500120110001E00700000189000                  
W2609240013BUYR220260929INV000880942V1000123MAPLE CREEK CABINETRY         4500120109001E00700000186000                  
W2609240006BUYR220260929INV000881114V1000062HARBOR LIGHTING INC           4500120115001E01100000151520                  
W2609240011BUYR320261001INV000880877V1000116COASTAL WINDOW AND DOOR       4500120108002E00500000026400                  
W2609240012BUYR320261001INV000880911V1000123MAPLE CREEK CABINETRY         4500120108001E00600000026400                  
W2609240005BUYR320261001INV000881089V1000048CAROLINA APPLIANCE DIST       4500120114001E01000000012900                  
W2609240003BUYR320261001INV000881014V1000031PIEDMONT PAINT CO             4500120112001E00900000012347                  
W2609240009BUYR320261001INV000881162V1000109TRISTATE ELECTRICAL           4500120116001E01100000000336                  
W2609240001DUPL120260925INV000880779V1000024BLUE RIDGE FASTENERS          4500120105001E00100000004740                  
W2609240007VNDR220260929INV000880807V1000079OAKMONT FLOORING              4500120106001E00300000043280                  
W2609240008VNDR220260929INV000880830V1000086GREENLEAF GARDEN SUPPLY       4500120107001E00300000011280                  
W2609240015VNDR220260929INV000880783V9999990** NOT ON VENDOR MASTER **    4500120105001E00200000001000                  
